5 30.22 14.30 20.71 5.453972
10 30.53 14.45 14.61 5.537673
20 30.62 14.49 12.44 5.540103
40 30.10 14.24 11.53 5.531711
80 29.67 14.04 11.05 5.543059
160 30.16 14.27 11.17 5.552354
